,Gene,Function,Supportability,Entrez Gene ID,cel-u.2 for egl-15,cel-m.4 for egl-15,cel-r.2 for egl-15,dme-u.2 for btl,dme-u.2 for htl,hsa-u.2 for FGFR2,hsa-u.2 for FGFR1,hsa-u.2 for FGFR3,mmu-u.2 for Fgfr4,mmu-u.2 for Fgfr3,mmu-u.2 for Fgfr2,rno-u.2 for Fgfr4,rno-u.2 for Fgfr1,rno-u.2 for Fgfr2,gga-u.2 for FGFR3,gga-u.2 for FGFR4,gga-u.2 for FGFR2,dre-u.2 for fgfr1b,dre-u.2 for fgfr1a,dre-u.2 for fgfr3,mcc-u.2 for FGFR4,mcc-u.2 for FGFR2,mcc-u.2 for FGFR3,cfa-u.2 for FGFR4,cfa-u.2 for FGFR3,cfa-u.2 for FGFR2
119,plc-3,1-phosphatidylinositol 4:5-bisphosphate phosphodiesterase gamma plc-3,0,174586,3694.9,2642.62,3699.97,5649.98,4447.33,11178.54,4011.63,10213.53,9623.31,8565.86,9963.05,9081.05,8112.48,10867.55,9070.3,7762.15,8069.23,7506.96,2742.84,11293.11,11024.56,9882.74,9657.76,9921.24,8921.26,9339.79
120,nas-11,Zinc metalloproteinase nas-11,3,180938,3723.5,4832.54,1981.03,,,,,,,,,,,,,,,,,,,,,,,
121,hlh-30,Helix Loop Helix,2,177157,3730.6,2556.38,3884.23,9623.52,6958.21,13222.73,10071.03,13702.37,9602.06,10611.97,13470.06,5856.5,8776.14,6784.12,9503.34,7654.33,8108.89,10384.5,7504.27,8277.99,9998.59,9568.08,6341.47,8652.01,8279.69,7533.29
122,C39E9.7,hypothetical protein,2,183346,3731.63,3056.52,3284.78,4915.52,2779.01,10446.31,9788.25,10555.89,3908.04,9272.56,8847.74,4839.92,7760.37,7098.78,6960.09,7797.83,7387.69,9936.38,8261.36,9929.85,6444.71,8149.86,9697.9,5300.86,7211.82,9171.06
123,Y55B1BL.1,hypothetical protein,0,175199,3736.23,3359.46,2995.88,,,,,,,,,,,,,,,,,,,,,,,
124,snf-12,Transporter,1,181143,3736.61,2833.82,3542.11,,,,,,,,,,,,,,,,,,,,,,,
125,B0303.11,Uncharacterized amino-acid permease B0303.11|hypothetical protein,3,176222,3737.62,2464.86,4027.51,,,,,,,,,,,,,,,,,,,,,,,
126,sma-6,Serine/threonine-protein kinase sma-6,1,174044,3738.28,2010.82,4789.53,4858.28,4016.06,6713.98,9733.5,9108.6,8784.35,6527.54,3609.46,6563.24,3035.36,5494.21,5280.67,6943.62,5535.52,4426.39,4175.45,7214.69,6542.25,7873.7,7344.06,8360.26,6887.26,6225.3
127,gei-13,Gex-3-interacting protein 13,3,176364,3749.28,3816.04,2638.76,,,,,,,,,,,,,,,,,,,,,,,
128,best-14,Bestrophin homolog 14,3,179471,3755.22,4792.18,2038.53,,,,,,,,,,,,,,,,,,,,,,,
129,vab-3,hypothetical protein,2,181251,3756.74,3581.14,2835.4,3921.42,5882.31,7672.53,11639.92,8139.1,12650.29,8325.56,6271.67,12428.13,11636.3,9333.02,5761.96,12662.13,6133.78,10832.89,8285.73,8980.57,12710.98,8193.7,11010.72,8404.46,9369.91,10970.97
130,vha-5,V-type proton ATPase subunit a,2,177626,3763.71,5019.34,1934.85,6044.78,5363.62,11787.19,11258.88,10319.35,7107.04,9697.39,12458.55,7487.76,9144.54,5999.38,10888.77,8582.01,8070.65,9988.8,9902.0,8365.11,8889.42,9930.41,8473.5,9700.08,7940.73,9908.43
131,ace-1,Acetylcholinesterase 1,1,181706,3764.27,2829.86,3597.88,4168.16,3229.33,12296.63,11110.7,9650.18,6552.12,7440.17,5457.68,6966.29,8489.75,7044.68,6907.55,8015.27,6104.78,11199.53,9574.6,6523.74,5825.64,6284.47,6746.47,6374.66,7545.52,9446.23
132,C34F6.10,hypothetical protein,1,181313,3769.73,4184.39,2410.07,7447.94,7760.44,13619.02,10297.52,15074.95,11264.14,14214.21,12394.38,9113.23,6100.85,5956.37,6593.19,10543.91,8394.65,7126.76,6912.12,10757.08,11494.88,12992.49,13298.53,8983.06,11027.66,8215.85
133,cup-16,hypothetical protein,3,174393,3777.07,2914.09,3522.47,,,,,,,,,,,,,,,,,,,,,,,
134,fbxa-24,F-box A protein,1,173727,3780.31,2085.94,4741.21,,,,,,,,,,,,,,,,,,,,,,,
135,osm-10,Major sperm protein,2,191740,3783.16,2437.43,4160.4,,,,,,,,,,,,,,,,,,,,,,,
136,mct-3,MonoCarboxylate Transporter family,3,181497,3787.55,3285.19,3149.87,,,7073.64,10858.22,5973.56,7706.24,7448.59,9499.12,5484.83,6936.17,11719.28,6772.3,10330.46,6983.85,9236.71,13339.03,10101.35,7978.41,6698.1,8778.89,7848.22,8221.45,6490.61
137,zmp-4,Zinc MetalloProtease,3,179991,3797.76,2823.08,3668.29,,,,,,,,,,,,,,,,,,,,,,,
138,mltn-9,MLt-TeN (mlt-10) related,3,175122,3802.27,3848.42,2691.97,8386.18,8477.71,,,,,,,,,,,,,11673.25,11977.67,10424.85,,,,,,
139,F09B9.4,hypothetical protein,1,184221,3802.6,2494.3,4115.79,,,,,,,,,,,,,,,,,,,,,,,
140,F41C3.2,hypothetical protein,3,173821,3803.68,3821.19,2714.78,4915.52,2779.01,10446.31,9788.25,10555.89,3908.04,9272.56,8847.74,4839.92,7760.37,7098.78,6960.09,7797.83,7387.69,9936.38,8261.36,9929.85,6444.71,8149.86,9697.9,5300.86,7211.82,9171.06
141,AC3.5,Aminopeptidase-like protein AC3.5|hypothetical protein,3,179447,3804.54,3143.98,3319.95,,,,,,,,,,,,,,,,,,,,,,,
142,F35B12.9,hypothetical protein,3,179591,3821.49,1787.9,5453.74,,,,,,,,,,,,,,,,,,,,,,,
143,tnt-3,TropoNin T,2,181052,3830.03,3120.09,3389.32,7263.29,6505.36,,,,,,,,,,,,,,,,,,,,,
144,gtl-2,Gon-Two Like (TRP subfamily),2,178036,3831.61,2141.75,4752.0,7084.86,7477.29,6819.92,8842.49,12149.22,8626.68,7967.44,6391.97,8275.89,8252.26,7493.07,8223.59,11026.31,8817.62,12078.14,10021.37,10776.95,10755.37,9263.87,10696.27,5907.06,11121.85,11174.65
145,R07E3.6,hypothetical protein,3,181240,3831.96,3562.98,2968.26,,,,,,,,,,,,,,,,,,,,,,,
146,nfki-1,Nuclear Factor of Kappa light polypeptide gene enhancer in b(B)-cells n,2,181625,3832.1,3090.68,3424.37,9203.37,6951.71,12361.4,12416.73,12339.85,13483.63,12975.91,13073.27,7584.96,8911.23,8074.06,9731.6,6210.13,10563.12,13027.72,13197.04,10735.95,9033.38,13004.15,8209.38,12744.31,9491.0,9870.27
147,nac-1,Sodium-dependent low-affinity dicarboxylate transporter 1,3,181585,3840.26,4156.04,2525.3,6174.45,6435.92,7731.19,10141.13,9313.53,7427.6,5471.87,7755.85,6512.31,7403.35,7660.04,7307.78,8953.47,4145.86,11673.09,11487.51,10422.79,10591.11,7741.63,7382.73,3751.0,6183.63,9039.49
148,sem-4,hypothetical protein,1,172435,3841.38,3080.56,3451.68,5890.5,2814.18,6778.76,7204.2,7109.3,6405.16,7317.61,5155.88,7875.21,8843.55,8187.63,5335.76,7438.08,4318.48,4058.23,2637.82,8332.48,7380.92,5384.29,7830.71,7626.3,7207.54,7511.59
149,F48A9.2,hypothetical protein,0,185958,3848.81,8315.03,960.47,,,,,,,,,,,,,,,,,,,,,,,
150,pqn-62,Prion-like-(Q/N-rich)-domain-bearing protein,3,180789,3856.69,2982.05,3589.0,,,,,,,,,,,,,,,,,,,,,,,
151,klp-4,Kinesin-like protein,1,180608,3857.85,3378.49,3177.41,7736.93,5518.28,9091.95,9962.93,11226.93,9923.23,9995.64,8207.5,7878.07,5489.98,4119.26,6694.95,11079.12,9353.66,10444.62,7094.03,7645.18,9623.63,9884.82,10778.25,9913.75,8611.0,11284.23
152,mlt-7,Peroxidase mlt-7 light chain,3,173775,3865.17,2512.16,4216.2,,,12718.32,12182.03,13096.59,11319.27,12955.06,13140.85,9555.66,8248.57,9910.26,7223.71,8749.7,10914.73,14990.6,10472.5,11391.45,9683.85,10256.07,8993.34,9753.71,10769.15,10758.01
153,bar-1,Beta-catenin/armadillo-related protein 1,1,180982,3870.99,4966.87,2083.8,,,,,,,,,,,,,,,,,,,,,,,
154,F13D11.4,hypothetical protein,2,184416,3885.71,4041.93,2669.58,,,,,,,,,,,,,,,,,,,,,,,
155,itx-1,InTestinal NeureXin-like,3,171846,3888.97,4526.94,2352.14,5976.18,3426.06,9836.38,8024.6,11935.47,13511.9,10298.22,10236.83,10941.89,9501.27,7172.17,6611.44,9713.1,7773.33,10526.47,9372.19,10454.75,7566.75,7694.17,9854.05,10514.68,8278.81,9311.41
156,C04E7.4,hypothetical protein,0,259695,3889.77,,2445.87,,,,,,,,,,,,,,,,,,,,,,,
157,C33D9.3,hypothetical protein,2,177691,3890.25,2971.48,3662.34,,,,,,,,,,,,,,,,,,,,,,,
158,nhr-40,Nuclear hormone receptor family member nhr-40,1,180560,3895.83,3092.81,3534.9,,,,,,,,,,,,,,,,,,,,,,,
159,cab-1,Protein cab-1,3,181382,3904.69,4277.85,2531.72,8796.24,5616.28,14525.89,10068.78,11013.11,12819.17,11924.88,11425.2,9611.28,5445.68,12489.07,10577.05,3332.78,10789.44,10969.24,10340.23,12776.09,9870.27,15296.64,10017.69,12108.36,12535.92,9475.48
160,F23H12.5,hypothetical protein,3,179695,3905.18,3478.0,3161.93,,,,,,,,,,,,,,,,,,,,,,,
161,F31C3.6,hypothetical protein,1,173377,3906.7,3379.57,3257.61,4408.68,8134.25,,,,,,,,,,,,,,,,,,,,,
162,unc-9,Innexin|Innexin unc-9,2,181443,3908.43,3529.7,3119.87,2217.97,2723.58,,,,,,,,,,,,,,,,,,,,,
163,fig-1,hypothetical protein,0,179523,3908.76,1816.32,5596.18,,,,,,,,,,,,,,,,,,,,,,,
164,nhr-35,Nuclear hormone receptor family member nhr-35,2,180725,3931.4,2835.76,3904.07,,,,,,,,,,,,,,,,,,,,,,,
165,nhr-14,Nuclear hormone receptor family member nhr-14,0,181102,3933.21,3323.56,3357.48,,,,,,,,,,,,,,,,,,,,,,,
166,F40A3.2,hypothetical protein,3,179169,3938.84,4128.66,2682.88,,,,,,,,,,,,,,,,,,,,,,,
167,brp-1,Bypass of Response to Pheromone in yeast,3,176637,3940.61,3213.24,3483.85,,,,,,,,,,,,,,,,,,,,,,,
168,kin-16,Receptor-like tyrosine-protein kinase kin-16,3,174499,3945.54,2260.53,4788.93,,,,,,,,,,,,,,,,,,,,,,,
169,H03A11.2,hypothetical protein,2,181617,3957.29,4438.12,2497.59,8437.26,7689.3,10513.09,11030.21,12052.26,11461.85,10649.28,11828.42,9701.53,9911.67,9249.6,10486.28,10066.68,9177.89,8917.75,11704.89,12386.74,9768.44,10682.8,9380.27,11114.59,10116.13,8666.32
170,mlt-2,hypothetical protein,2,172459,3964.56,2812.33,3997.37,,,8164.63,10617.78,11380.5,13315.74,10044.9,10018.42,10814.9,8321.69,9517.73,5705.41,11322.55,5865.28,11706.27,11186.29,11808.18,6569.58,11218.83,15108.32,10477.8,13239.29,10870.75
171,aex-3,MAP kinase-activating death domain protein,2,180420,3965.46,3871.45,2917.57,8869.87,5918.33,16294.6,12301.51,12963.33,14407.93,9325.88,13033.66,8547.75,8815.31,8539.01,10889.46,13036.77,10805.73,14541.81,13632.88,7847.8,13416.66,12478.4,9943.18,15207.1,13011.95,10652.63
172,nkb-3,Na+/K+ ATPase: Beta subunit|Probable sodium/potassium-transporting ATPase subunit beta-3,3,181494,3973.78,4370.03,2564.56,4577.41,2523.91,10555.89,10693.43,7156.34,10830.79,5339.82,6633.14,11914.61,6270.33,10254.82,11467.5,8157.07,9909.13,9999.86,9817.14,7456.36,8490.83,5829.31,6791.04,9620.55,10085.04,10514.05
173,F59F5.3,hypothetical protein,1,186634,3981.98,4100.81,2765.18,,,,,,,,,,,,,,,,,,,,,,,
174,T16G1.2,hypothetical protein,2,188552,3986.92,3883.81,2940.19,,,,,,,,,,,,,,,,,,,,,,,
175,F56D5.6,hypothetical protein,2,177773,3990.18,2467.52,4540.76,,,,,,,,,,,,,,,,,,,,,,,
176,gtl-1,Gon-Two Like (TRP subfamily),3,178031,3992.6,3473.44,3310.39,,,,,,,,,,,,,,,,,,,,,,,
177,gyg-1,Glycogenin-1,2,180644,3993.5,2538.55,4438.14,7346.43,5369.32,8264.56,9320.57,7508.45,15211.23,14939.59,13669.27,10817.25,7367.2,11074.38,5431.8,10017.59,8678.24,12376.9,11670.24,10434.31,9688.88,9394.44,10605.72,9950.55,6439.78,11576.04
178,dhs-29,DeHydrogenases: Short chain,3,181027,4004.15,5016.01,2215.6,1622.43,3480.99,8969.3,11223.75,9475.85,9305.71,9412.75,8491.02,7890.01,7583.32,5978.52,7787.3,7630.61,8781.4,8965.83,11144.07,8588.08,12324.35,8053.84,13162.17,6380.99,7669.81,7856.04
179,sma-9,SMAll,1,181271,4008.09,2713.13,,,,14959.71,12534.72,14585.53,14222.24,10490.19,12451.07,12509.84,9363.88,12269.39,8946.64,11411.12,8997.85,9782.01,9889.24,9919.45,15089.48,11416.24,13133.69,11343.42,7907.99,11414.24
180,svh-2,Tyrosine-protein kinase receptor svh-2,2,180929,4017.51,3892.6,2979.66,,,,,,,,,,,,,,,,,,,,,,,
181,C34E11.7,hypothetical protein,0,13222972,4020.82,,2127.51,,,,,,,,,,,,,,,,,,,,,,,
182,elt-3,Erythroid-Like Transcription factor family,2,181503,4039.86,3079.67,3809.72,2870.88,2954.33,7616.25,11000.21,5006.51,3693.68,6967.4,6748.41,8157.65,8122.92,7664.96,3087.97,7213.49,5480.69,7711.43,8620.97,10595.18,6586.27,10972.85,7885.12,8906.4,5084.29,7966.01
183,E04F6.4,hypothetical protein,2,174179,4040.66,2445.92,4680.48,,,,,,,,,,,,,,,,,,,,,,,
184,unc-104,Kinesin-like protein unc-104,2,174144,4050.93,2429.36,4728.92,6741.64,6371.76,9312.89,10194.44,7775.75,8921.98,8095.61,8732.16,9590.63,5773.53,6818.79,8079.0,8255.01,8676.4,8941.03,8081.25,8873.36,8954.69,9782.87,6861.06,10591.37,8629.47,9541.43
185,F18G5.6,hypothetical protein,3,184656,4057.19,3153.51,3756.27,,,,,,,,,,,,,,,,,,,,,,,
186,max-1,Motor AXon guidance,1,179794,4060.01,3664.23,3242.9,9175.34,8185.93,6482.27,5409.33,5524.42,8176.92,8147.18,3782.17,8849.89,6261.06,6265.09,3262.19,9590.02,3185.32,7566.71,6183.81,7939.32,9857.65,6362.07,5353.22,8561.1,8051.24,6673.97
187,del-10,Degenerin-like protein del-10,2,174069,4060.72,3799.91,3124.17,,,,,,,,,,,,,,,,,,,,,,,
188,deb-1,DEnse Body|Vinculin,3,177482,4061.96,2970.37,3982.03,6915.52,8354.51,10809.49,6461.29,14072.84,12457.79,11520.29,7329.67,10525.76,6758.1,8285.03,12918.52,8851.71,10472.9,9170.44,6245.39,9886.54,11704.52,10708.43,11530.15,13214.84,14281.61,10622.51
189,che-3,Cytoplasmic dynein 2 heavy chain 1,2,172593,4068.63,3434.25,3476.82,4472.76,6188.22,9360.08,9789.96,13739.32,14334.52,10620.31,10095.5,12026.44,10062.19,10017.28,9239.91,11657.17,8530.56,6687.6,7125.11,9730.16,14583.14,11112.53,11344.05,10991.09,12458.27,7883.03
190,ZK822.4,hypothetical protein,3,178125,4070.83,2286.82,5014.32,,,,,,,,,,,,,,,,,,,,,,,
191,T13H5.1,Protein-tyrosine-phosphatase|hypothetical protein,1,174359,4076.1,2353.29,4909.66,7882.0,2557.53,,,,,,,,,,,,,,,,,,,,,
192,nhr-59,Nuclear Hormone Receptor family|Nuclear hormone receptor family member nhr-59,2,178707,4078.04,3171.09,3773.96,,,,,,,,,,,,,,,,,,,,,,,
193,trpa-1,TRPA cation channel homolog|Transient receptor potential cation channel subfamily A member 1 homolog,1,178118,4081.97,4800.94,2434.9,5261.18,4279.51,16105.71,10608.05,16296.46,13286.33,17580.91,14133.54,11204.13,10853.57,9487.79,7338.04,10152.13,8531.1,11455.1,12890.64,12225.07,10884.57,10101.35,11425.57,7529.48,12282.4,9865.68
194,lgc-32,Ligand-Gated ion Channel,2,188603,4082.25,2822.02,4211.88,,,,,,,,,,,,,,,,,,,,,,,
195,pqm-1,ParaQuat (Methylviologen) responsive,3,174705,4083.04,3431.6,3504.05,,,,,,,,,,,,,,,,,,,,,,,
196,crm-1,CRiM (Cysteine Rich motor neuron protein) homolog,1,179439,4093.98,3986.13,3020.3,8942.94,3079.8,10225.59,9143.39,11947.34,10800.03,5355.94,8592.01,8375.52,4875.78,10048.58,8180.11,14342.24,7287.36,10060.45,8238.0,6821.22,11184.19,10982.96,14799.62,7934.81,10044.7,8669.3
197,F49E2.5,hypothetical protein,2,181175,4098.33,4416.24,2704.9,,,,,,,,,,,,,,,,,,,,,,,
198,del-6,DEgenerin Like,3,179474,4098.89,3314.55,3653.18,,,,,,,,,,,,,,,,,,,,,,,
199,gly-6,GLYcosylation related|Probable N-acetylgalactosaminyltransferase 6,2,175558,4113.12,2780.04,4329.4,5693.81,6889.23,9586.58,11656.37,11539.35,12225.71,11988.42,9059.26,8515.86,6861.79,7170.14,7333.61,7068.63,6654.38,9092.62,7326.58,9532.87,8745.31,4466.99,8972.8,11082.73,9371.62,7181.71
200,ppm-2,Probable protein phosphatase 2C T23F11.1,1,175610,4135.31,3191.98,3853.7,7273.25,7735.44,9724.15,9886.9,12049.67,8855.63,11740.6,12285.87,8721.67,8142.06,10588.94,10305.39,10609.36,11435.64,9377.3,6483.44,6700.57,7587.8,11948.92,11774.6,11327.55,11345.53,8536.15
